Name,Category,ticker
HLBANK,Banking,5819.KL
EDARAN [s],Technology Equipment,5036.KL
HOMERIZ [s],Houshold Goods,5160.KL
MAYBANK,Banking,1155.KL
HLFG,Banking,1082.KL
AIRPORT,Transportation & Logistics Services,5014.KL
MCEHLDG [s],Auto Parts,7004.KL
KSL [s],Property,5038.KL
BMGREEN [s],"Industrial Materials, Components & Equipment",168.KL
YGL [s],Software,86.KL
PANTECH [s],Metals,5125.KL
OIB [s],Property,5827.KL
NOTION [s],Technology Equipment,83.KL
HIAPTEK [s],Metals,5072.KL
KFIMA [s],Diversified Industrials,6491.KL
AVALAND [s],Property,5182.KL
EMCC,Other Financials,286.KL
SWKPLNT [s],Plantation,5135.KL
AHEALTH,Pharmaceuticals,7090.KL
DIALOG [s],"Energy, Infrastructure, Equipment & Services",7277.KL
CENGILD [s],Health Care Providers,243.KL
PIE [s],"Industrial Materials, Components & Equipment",7095.KL
AMBANK,Banking,1015.KL
IFCAMSC [s],Software,23.KL
CDB [s],Telecommunications Service Providers,6947.KL
BINTAI [s],Industrial Engineering,6998.KL
BPPLAS [s],Packaging Materials,5100.KL
REX [s],Food & Beverages,9946.KL
MGB [s],Construction,7595.KL
VS [s],"Industrial Materials, Components & Equipment",6963.KL
ABMB,Banking,2488.KL
IGBB,Property,5606.KL
PENTA [s],Technology Equipment,7160.KL
ARMADA [s],"Energy, Infrastructure, Equipment & Services",5210.KL
DANCO [s],"Industrial Materials, Components & Equipment",5276.KL
T7GLOBAL [s],"Energy, Infrastructure, Equipment & Services",7228.KL
TSA [s],Metals,297.KL
CHINTEK,Plantation,1929.KL
PAVREIT,Real Estate Investment Trusts,5212.KL
GESHEN [s],"Industrial Materials, Components & Equipment",7197.KL
SAMCHEM [s],Chemicals,5147.KL
CEKD [s],"Industrial Materials, Components & Equipment",238.KL
AME [s],Construction,5293.KL
VELESTO [s],"Energy, Infrastructure, Equipment & Services",5243.KL
EFRAME [s],Building Materials,227.KL
PWROOT [s],Food & Beverages,7237.KL
MAYBULK,Transportation & Logistics Services,5077.KL
JTIASA [s],Plantation,4383.KL
PTRANS [s],"Travel, Leisure & Hospitality",186.KL
TIMECOM [s],Telecommunications Service Providers,5031.KL
SDG [s],Plantation,5285.KL
EUPE [s],Property,6815.KL
IHH [s],Health Care Providers,5225.KL
PESONA [s],Construction,8311.KL
MKHOP [s],Plantation,5319.KL
3A [s],Food & Beverages,12.KL
TEXCYCL [s],Industrial Services,89.KL
TAANN [s],Plantation,5012.KL
VITROX [s],Semiconductors,97.KL
HIL [s],Chemicals,8443.KL
DSS [s],Packaging Materials,269.KL
LEESK [s],Houshold Goods,8079.KL
TALIWRK [s],"Gas, Water & Multi-Utilities",8524.KL
RHBBANK,Banking,1066.KL
YOCB [s],Houshold Goods,5159.KL
AZAMJAYA [s],Construction,5329.KL
ORGABIO [s],Food & Beverages,252.KL
ATECH [s],"Industrial Materials, Components & Equipment",5302.KL
AMEREIT [s],Real Estate Investment Trusts,5307.KL
LBALUM [s],Metals,9326.KL
TSRCAP [s],Construction,5042.KL
SEALINK [s],Transportation Equipment,5145.KL
INARI [s],Semiconductors,166.KL
BTECH [s],"Gas, Water & Multi-Utilities",11.KL
HLCAP,Other Financials,5274.KL
RGTECH [s],Digital Services,202.KL
PPJACK,Other Financials,242.KL
IGBREIT,Real Estate Investment Trusts,5227.KL
KTC [s],Consumer Services,180.KL
SET,",",337.KL
WELLCHIP,Other Financials,5325.KL
ULICORP [s],"Industrial Materials, Components & Equipment",7133.KL
SYGROUP [s],Transportation & Logistics Services,5173.KL
IOIPG,Property,5249.KL
CREST [s],Industrial Services,323.KL
MANULFE,Insurance,1058.KL
BIPORT [s],Transportation & Logistics Services,5032.KL
ZECON [s],Construction,7028.KL
KAB [s],Industrial Engineering,193.KL
LOTUSCIR [s],Personal Goods,7234.KL
SUPERLN [s],Building Materials,7235.KL
ARANK [s],Metals,7214.KL
MPI [s],Semiconductors,3867.KL
HAILY [s],Construction,237.KL
SKYWLD [s],Property,5315.KL
ATRIUM,Real Estate Investment Trusts,5130.KL
MHC [s],Plantation,5026.KL
FLEXI [s],Industrial Services,231.KL
YENHER,Agricultural Products,5300.KL
TAFI [s],Houshold Goods,7211.KL
NAIM [s],Property,5073.KL
SPRING [s],Houshold Goods,216.KL
DPHARMA [s],Pharmaceuticals,7148.KL
PRTASCO [s],Construction,5070.KL
AGX [s],Transportation & Logistics Services,299.KL
LYSAGHT,Metals,9199.KL
GLXT [s],Industrial Services,284.KL
CABNET [s],Technology Equipment,191.KL
PADINI [s],Retailers,7052.KL
UZMA [s],"Energy, Infrastructure, Equipment & Services",7250.KL
KPPROP [s],Property,7077.KL
SUNWAY [s],Diversified Industrials,5211.KL
SUNREIT,Real Estate Investment Trusts,5176.KL
THPLANT [s],Plantation,5112.KL
MERSEC,Other Financials,285.KL
PANAMY,Houshold Goods,3719.KL
MSC [s],Metals,5916.KL
GENM,"Travel, Leisure & Hospitality",4715.KL
PBA [s],"Gas, Water & Multi-Utilities",5041.KL
DKLS [s],Construction,7528.KL
TGL [s],Personal Goods,9369.KL
TECGUAN,Agricultural Products,7439.KL
